Internal.Interview.Numbers,A.Quiet.Place.Part.II,Mulan,My.Spy,Saint.Maud,The.New.Mutants,The.High.Note,Scoob.,The.SpongeBob.Movie..Sponge.on.the.Run,Antebellum,Antlers,Black.Widow,Run,Spiral,The.Woman.in.the.Window,Irresistible,The.Green.Knight,Wonder.Woman.1984,Candyman,Greyhound,Soul,Minions..The.Rise.of.Gru,In.the.Heights,Top.Gun..Maverick,Free.Guy,Ghostbusters..Afterlife,Tenet,Jungle.Cruise,Morbius,Peter.Rabbit.2..The.Runaway,Connected,The.King.s.Man,Respect,No.Time.to.Die,Fast...Furious.9,Cluster3,Cluster4,Cluster5,Cluster6,Cluster7,Cluster8,Cluster9
127964306,0.558727041,0.004110489,0.006120531,0.000875377,0.002828287,0.001649946,0.051578464,0.008151858,0.0027325,0.001485972,0.052373965,0.001759667,0.001437203,0.030765555,0.000666776,0.002300987,0.061636347,0.003939747,0.003548121,0.000844726,0.013300937,0.000567112,0.021147517,0.021649178,0.002025978,0.00114409,0.00139313,0.002140964,0.00377299,0.001242657,0.043923332,0.000348802,0.008229999,0.081579756,2,4,1,2,1,6,3
127964357,0.109479588,0.034629121,0.106408289,0.009282312,0.02322194,0.010072428,0.000304968,0.001365202,0.009944284,0.028307529,0.013195786,0.02064265,0.008719688,0.02059168,0.027488544,0.006859504,0.059783544,0.006448597,0.005409892,0.03793359,0.025756423,0.045851146,0.017274237,0.019743807,0.019864647,0.026744173,0.042582628,0.023057711,0.135994985,0.013548875,0.024646069,0.032565835,0.017988555,0.014291773,1,3,2,6,7,4,5
127964376,0.029621043,0.056730899,0.112967824,0.000980288,0.004698972,0.007067065,0.085453518,0.037895842,0.005452914,0.004835703,0.002280094,0.029278228,0.004517566,0.005319434,0.002712277,0.00385588,0.001318992,0.212320346,0.002286148,0.012915588,0.057148557,0.000784152,0.00762942,0.023155805,0.006945234,0.000914483,0.000620395,0.004424019,0.001791613,0.003476716,0.003770657,0.003589704,0.000512081,0.262728544,1,3,2,6,7,4,5
127964524,0.020824115,7.05E-05,0.002175585,0.000275654,0.293339796,0.001273435,0.00109377,0.051866539,0.005638329,0.000662183,0.004892086,0.002725666,0.002298612,0.002700919,0.009587664,0.02919653,0.002252788,0.004191175,0.002003757,0.001783954,0.193073468,0.000357165,0.0024217,0.018349927,0.321272215,0.000798295,0.002040631,0.001640897,0.000793405,0.001052111,0.011812269,0.00717852,0.000317095,3.93E-05,1,3,2,6,7,4,5
127964578,0.745527544,0.003159699,0.000210829,0.000313388,0.008518979,0.000830243,0.001395359,0.002839361,0.000801968,8.70E-05,0.006219473,0.000223639,0.000121854,0.004490881,0.000436419,0.000329538,0.020827575,0.000351225,0.000984436,0.000102146,0.029983642,0.000154366,0.004175976,0.000273043,0.022395971,0.000182385,0.000962597,0.000232402,0.003644599,0.000108613,0.005215946,0.00048925,0.017294163,0.117115471,2,4,1,2,1,6,3
127964639,0.018549846,0.030493517,0.030696889,0.002323296,0.017806031,0.033526983,0.015885956,0.057252948,0.003433915,0.021188226,0.079442466,0.014880096,0.043954938,0.014480402,0.008024217,0.052692991,0.008049722,0.095623357,0.068668241,0.06495123,0.001409208,0.022154988,0.01166019,0.026885942,0.03089554,0.019096092,0.021007964,0.016671538,0.01338964,0.032716433,0.01065302,0.058136279,0.047323542,0.006074358,1,3,2,6,7,4,5
127964676,0.004086314,0.006880613,0.045724037,0.004216264,0.002954965,0.016861317,0.021327976,0.114934554,0.024936661,0.017778444,0.016425441,0.040103517,0.006668879,0.010698654,0.005030468,0.015756237,0.000774541,0.011275323,0.014211361,0.005576566,0.060738116,0.004574942,0.007450564,0.009007447,0.004309247,0.007318592,0.001632601,0.001626425,0.004611996,0.004014908,0.013975397,0.024154141,0.467767891,0.0025956,1,3,2,6,7,4,5
127964694,0.001554778,0.204027217,0.04272473,0.001337361,0.003024264,0.00119395,0.392319228,5.15E-05,0.00114661,0.006041118,0.040837664,0.014463741,0.023487604,0.001156522,0.005059081,0.001585806,0.122438263,0.014690106,0.000747177,0.008654902,0.000318673,0.00377763,0.00035894,0.02552425,0.003257337,0.018050237,0.007126789,0.040566489,0.00042244,0.006528861,0.000468362,0.003605626,0.000452143,0.003000556,1,3,2,6,7,4,9
127964912,0.000514631,4.85E-05,0.033475812,0.002797609,0.000682063,0.002190685,0.272918594,0.005342957,0.034081171,0.004403586,0.000980101,0.001387216,0.001038634,0.002525651,0.000442483,0.005911976,0.00033966,0.031360515,0.005087672,0.012557481,0.004477273,0.001966588,0.005059563,0.001036904,0.007808301,9.86E-05,0.043948566,0.000138026,0.009593489,0.001336465,0.001439472,0.00292845,4.91E-05,0.502032262,3,2,5,5,5,1,4
127965196,0.198785161,1.19E-05,9.73E-05,0.001048683,0.013057218,0.000589401,0.000813493,0.03337447,0.005319218,0.00373472,0.000217489,0.001637194,0.000728373,0.064405695,0.002316315,0.000177636,7.77E-06,0.638808922,0.001749401,4.88E-05,0.003877763,0.000589652,0.001467721,0.000547239,0.014380653,0.000318321,0.000223606,0.001341663,0.00312912,0.001110638,0.000279539,0.001139063,0.004606081,5.98E-05,1,3,2,6,7,4,5
